id,commit_id,user_id,body,line,position,comment_id,created_at,,,
354222,21004157,26545,"Yeah, but I don't like to post that until *after* the presentation. Will add it now though.",\N,\N,1284005,5/2/12 16:46,,,
354223,21004157,26545,Cool. Thank you :-),\N,\N,1284166,5/2/12 17:18,,,
354224,21004157,47104,Thanks -- I thought the slides were pretty good BTW.,\N,\N,1284087,5/2/12 17:05,,,
354225,2009333,9192,"Edy, 4.2-milestone-1 hasn't been released yet..",\N,\N,1599287,7/18/12 14:38,,,
354226,19371307,108054,^^ sorry but your index.php don't work with me ;-),3,3,1599559,7/18/12 15:27,,,
354227,19371307,192562,;(,3,3,1599549,7/18/12 15:26,,,
354228,6753320,20642,"I'd prefer not to clutter up the Gemfile with conditionals like this.\
\
In this situation, I tend to just work with a locally modified version of the Gemfile.",\N,\N,1597097,7/18/12 6:52,,,
354229,6753320,66821,"This is a convention used widely in other projects within Alphagov, and given the way the standardised development environment works (i.e checks out everything including the GovSpeak Gem), it works as expected.",\N,\N,1597109,7/18/12 6:54,,,
354230,6753320,60759,"I'm with James on this: I've seen it used in the various Alphagov Gemfiles but I'm not a fan.  I can see that it helps when you're using the standard development environment but it just adds noise when you're not.  Anyways, I realise that's not a particula",\N,\N,1597208,7/18/12 7:16,,,
354231,6753320,64971,"I chatted with Brad about this and also had a look for a better way of handling this but unfortunately couldn't find one.  I too feel uncomfortable with clogging the `Gemfile` up with conditionals. With so many different gem dependencies, it could quickly ",\N,\N,1599242,7/18/12 14:29,,,
354232,6753320,20642,"How about adding your own `Gemfile.local` and using `bundle install --gemfile=Gemfile.local` and setting `BUNDLE_GEMFILE=Gemfile.local` in your environment?\
\
If you want to load everything in the standard `Gemfile`, you can add something like this `eval Fi",\N,\N,1599284,7/18/12 14:37,,,
354234,130874,5902,Why remove the Demographics from prepop?,\N,\N,1599341,7/18/12 14:46,,,
354235,14733131,10506,remove,3575,27,1599552,7/18/12 15:27,,,
355858,17960117,45261,"It's certainly not unheard of, just look at heroku, RTD, etc. I am +1 on pursing it for experimental purposes.",\N,\N,1300824,5/7/12 13:51,,,
355859,6586637,60989,Just for lulz.,\N,\N,1560411,7/10/12 10:03,,,
