id,url,owner_id,name,description,language,created_at,forked_from,deleted,updated_at,forked_commit_id
-1,\N,-1,noproject,Fake entry to indicate a previously existing but currently absent repo,\N,4/18/16 11:45,\N,0,1/1/70 1:00,\N
1,https://api.github.com/repos/tosch/ruote-kit,1,ruote-kit,RESTful wrapper for ruote workflow engine,Ruby,12/8/09 11:17,2,0,5/30/19 16:35,84984
2,https://api.github.com/repos/kennethkalmer/ruote-kit,4,ruote-kit,RESTish wrapper for ruote workflow engine,Ruby,6/10/09 20:32,\N,0,10/11/16 14:11,\N
3,https://api.github.com/repos/matplotlib/basemap,23,basemap,,C++,2/19/11 2:58,\N,0,5/29/19 15:49,\N
4,https://api.github.com/repos/jswhit/basemap,24,basemap,,C++,6/14/12 14:14,3,1,1/1/70 1:00,\N
5,https://api.github.com/repos/funkaster/cocos2d-x,28,cocos2d-x,Port of cocos2d-iphone in C++,C,3/12/12 17:48,6,0,10/11/16 14:20,\N
6,https://api.github.com/repos/cocos2d/cocos2d-x,31,cocos2d-x,cocos2d-x for C++,C++,11/18/10 23:17,\N,0,5/31/19 5:25,\N
7,https://api.github.com/repos/pixonic/cocos2d-x,42,cocos2d-x,Port of cocos2d-iphone in C++,C,4/23/12 12:20,6,1,3/2/16 1:32,\N
8,https://api.github.com/repos/NUBIC/ncs_navigator_core,65,ncs_navigator_core,Case management and instrument administration for NCS Navigator,Ruby,4/19/12 21:45,\N,0,10/11/16 14:11,\N
9,https://api.github.com/repos/sgonyea/rake-compiler,66,rake-compiler,Provide a standard and simplified way to build and package Ruby C and Java extensions using Rake as glue.,Ruby,8/1/12 20:33,14556189,0,10/11/16 14:11,864
10,https://api.github.com/repos/chapuni/llvm,67,llvm,Chapuni's branch based on http://llvm.org/git/llvm.git,C++,2/1/11 9:11,\N,0,10/11/16 14:11,\N
11,https://api.github.com/repos/heroku/heroku-buildpack-scala,69,heroku-buildpack-scala,Heroku buildpack: Scala,Shell,5/16/11 21:41,\N,0,3/7/19 11:23,\N
12,https://api.github.com/repos/rafacm/heroku-buildpack-scala,70,heroku-buildpack-scala,,Shell,8/2/12 14:50,11,0,10/11/16 14:11,372999
13,https://api.github.com/repos/Fluttershy/locria,72,locria,Project Locria - The Beauty of Elegance,JavaScript,7/2/12 4:29,\N,1,1/1/70 1:00,\N
