id,login,company,created_at,type,fake,deleted,long,lat,country_code,state,city,location
-1,0xnoone,\N,4/18/16 11:42,USR,0,1,\N,\N,\N,\N,\N,\N
1,tosch,Sage GmbH,12/15/08 12:28,USR,0,0,0,0,\N,\N,\N,"Rastede, Germany"
2,jmettraux,\N,3/22/08 0:37,USR,0,0,132.4552927,34.3852029,jp,Hiroshima Prefecture,Hiroshima,Hiroshima
3,SMGNMSKD,\N,8/3/12 16:08,USR,1,1,\N,\N,\N,\N,\N,\N
4,kennethkalmer,#NAME?,4/28/08 17:25,USR,0,0,28.0473051,-26.2041028,za,City of Johannesburg Metropolitan Municipality,Johannesburg,"Johannesburg, South Africa"
5,weppos,DNSimple,4/6/08 8:44,USR,0,0,12.4963655,41.9027835,it,Rome,Rome,"Rome, Italy"
6,anb,KeyLemon,2/5/10 6:35,USR,0,0,0,0,\N,\N,\N,\N
7,hasimo,medley,9/30/08 0:05,USR,0,0,139.6917064,35.6894875,jp,Tokyo,Tokyo,Tokyo/Japan
8,mschiller,\N,3/26/10 4:57,USR,0,0,13.404954,52.5200066,de,Berlin,Berlin,Berlin
9,ben-biddington,\N,11/3/08 12:13,USR,0,0,174.776236,-41.2864603,nz,Wellington,Wellington,"Wellington, NZ"
10,mcollina,#NAME?,2/5/09 21:24,USR,0,0,0,0,\N,\N,\N,In the clouds above Italy
11,erwin,\N,5/30/08 12:25,USR,0,0,0,0,\N,\N,\N,\N
12,lbt,Merlin Design Ltd,5/24/09 15:29,USR,0,0,-3.435973,55.378051,gb,\N,\N,UK
13,nandosola,#NAME?,9/10/09 15:04,USR,0,0,-4.4213988,36.7212737,es,Málaga,Málaga,"Málaga, Spain"
14,nanounanue,Center for Data Science and Public Policy,11/24/10 5:43,USR,0,0,-87.6297982,41.8781136,us,Cook County,Chicago,"Chicago, IL"
15,efficientcloud,\N,3/11/11 9:22,ORG,0,0,-0.12721001,51.50642014,gb,England,London,"London, UK & Vienna, Austria"
16,jbutkowski,\N,6/27/11 6:22,USR,0,0,153.0234222,-27.46846008,au,QLD,Brisbane,"Brisbane, Australia"
17,miklophone,Hinterland,4/7/08 7:18,USR,0,1,0,0,\N,\N,\N,"London, UK"
18,developertown,\N,12/9/10 13:14,ORG,0,0,-86.158068,39.768403,us,Marion County,Indianapolis,"Indianapolis, IN"
19,rupakg,#NAME?,4/22/08 15:33,USR,0,0,-84.3879824,33.7489954,us,Fulton County,Atlanta,"Atlanta, Georgia, USA"
20,metasync,\N,6/17/09 10:12,USR,0,0,0,0,\N,\N,\N,\N
21,jrluis,\N,2/14/11 9:39,USR,0,0,0,0,\N,\N,\N,\N
22,eivan,\N,2/5/12 21:11,USR,0,0,19.12298012,47.51303101,hu,Budapest,Budapest,Budapest
23,matplotlib,\N,3/4/10 17:24,ORG,0,0,0,0,\N,\N,\N,\N
24,jswhit,\N,1/23/11 18:48,USR,0,0,0,0,\N,\N,\N,\N
25,EEFWTAOU,\N,8/3/12 16:08,USR,1,0,\N,\N,\N,\N,\N,\N
26,pigoz,\N,9/15/08 13:04,USR,0,0,0,0,\N,\N,\N,自宅
27,jimweirich,Neo,3/27/08 18:19,USR,0,0,-84.5120196,39.1031182,us,Hamilton County,Cincinnati,Cincinnati
28,funkaster,,1/26/09 14:01,USR,0,1,-122.4192704,37.7792768,us,California,SF,"San Francisco, CA"
29,moadib,\N,1/26/10 15:39,USR,0,0,0,0,\N,\N,\N,\N
30,minggo,Chukong Technology,11/19/10 8:06,USR,0,0,118.089425,24.479833,cn,Fujian,Xiamen,xiamen
31,cocos2d,\N,3/31/10 15:58,ORG,0,0,0,0,\N,\N,\N,\N
32,dumganhar,\N,11/23/10 12:02,USR,0,0,0,0,\N,\N,\N,\N
